,Sno,Values
57,58,https://trends.google.com/trends/explore?date=2023-12-08T03%202023-12-08T07&geo=IN&q=amazon&hl=en
58,59,https://trends.google.com/trends/explore?date=2023-12-08T06%202023-12-08T10&geo=IN&q=amazon&hl=en
59,60,https://trends.google.com/trends/explore?date=2023-12-08T09%202023-12-08T13&geo=IN&q=amazon&hl=en
60,61,https://trends.google.com/trends/explore?date=2023-12-08T12%202023-12-08T16&geo=IN&q=amazon&hl=en
61,62,https://trends.google.com/trends/explore?date=2023-12-08T15%202023-12-08T19&geo=IN&q=amazon&hl=en
62,63,https://trends.google.com/trends/explore?date=2023-12-08T18%202023-12-08T22&geo=IN&q=amazon&hl=en
63,64,https://trends.google.com/trends/explore?date=2023-12-08T21%202023-12-09T01&geo=IN&q=amazon&hl=en
64,65,https://trends.google.com/trends/explore?date=2023-12-09T00%202023-12-09T04&geo=IN&q=amazon&hl=en
65,66,https://trends.google.com/trends/explore?date=2023-12-09T03%202023-12-09T07&geo=IN&q=amazon&hl=en
66,67,https://trends.google.com/trends/explore?date=2023-12-09T06%202023-12-09T10&geo=IN&q=amazon&hl=en
67,68,https://trends.google.com/trends/explore?date=2023-12-09T09%202023-12-09T13&geo=IN&q=amazon&hl=en
68,69,https://trends.google.com/trends/explore?date=2023-12-09T12%202023-12-09T16&geo=IN&q=amazon&hl=en
69,70,https://trends.google.com/trends/explore?date=2023-12-09T15%202023-12-09T19&geo=IN&q=amazon&hl=en
70,71,https://trends.google.com/trends/explore?date=2023-12-09T18%202023-12-09T22&geo=IN&q=amazon&hl=en
71,72,https://trends.google.com/trends/explore?date=2023-12-09T21%202023-12-10T01&geo=IN&q=amazon&hl=en
72,73,https://trends.google.com/trends/explore?date=2023-12-10T00%202023-12-10T04&geo=IN&q=amazon&hl=en
73,74,https://trends.google.com/trends/explore?date=2023-12-10T03%202023-12-10T07&geo=IN&q=amazon&hl=en
74,75,https://trends.google.com/trends/explore?date=2023-12-10T06%202023-12-10T10&geo=IN&q=amazon&hl=en
75,76,https://trends.google.com/trends/explore?date=2023-12-10T09%202023-12-10T13&geo=IN&q=amazon&hl=en
76,77,https://trends.google.com/trends/explore?date=2023-12-10T12%202023-12-10T16&geo=IN&q=amazon&hl=en
77,78,https://trends.google.com/trends/explore?date=2023-12-10T15%202023-12-10T19&geo=IN&q=amazon&hl=en
78,79,https://trends.google.com/trends/explore?date=2023-12-10T18%202023-12-10T22&geo=IN&q=amazon&hl=en
79,80,https://trends.google.com/trends/explore?date=2023-12-10T21%202023-12-11T01&geo=IN&q=amazon&hl=en
80,81,https://trends.google.com/trends/explore?date=2023-12-11T00%202023-12-11T04&geo=IN&q=amazon&hl=en
81,82,https://trends.google.com/trends/explore?date=2023-12-11T03%202023-12-11T07&geo=IN&q=amazon&hl=en
82,83,https://trends.google.com/trends/explore?date=2023-12-11T06%202023-12-11T10&geo=IN&q=amazon&hl=en
83,84,https://trends.google.com/trends/explore?date=2023-12-11T09%202023-12-11T13&geo=IN&q=amazon&hl=en
84,85,https://trends.google.com/trends/explore?date=2023-12-11T12%202023-12-11T16&geo=IN&q=amazon&hl=en
85,86,https://trends.google.com/trends/explore?date=2023-12-11T15%202023-12-11T19&geo=IN&q=amazon&hl=en
86,87,https://trends.google.com/trends/explore?date=2023-12-11T18%202023-12-11T22&geo=IN&q=amazon&hl=en
87,88,https://trends.google.com/trends/explore?date=2023-12-11T21%202023-12-12T01&geo=IN&q=amazon&hl=en
88,89,https://trends.google.com/trends/explore?date=2023-12-12T00%202023-12-12T04&geo=IN&q=amazon&hl=en
89,90,https://trends.google.com/trends/explore?date=2023-12-12T03%202023-12-12T07&geo=IN&q=amazon&hl=en
90,91,https://trends.google.com/trends/explore?date=2023-12-12T06%202023-12-12T10&geo=IN&q=amazon&hl=en
91,92,https://trends.google.com/trends/explore?date=2023-12-12T09%202023-12-12T13&geo=IN&q=amazon&hl=en
92,93,https://trends.google.com/trends/explore?date=2023-12-12T12%202023-12-12T16&geo=IN&q=amazon&hl=en
93,94,https://trends.google.com/trends/explore?date=2023-12-12T15%202023-12-12T19&geo=IN&q=amazon&hl=en
94,95,https://trends.google.com/trends/explore?date=2023-12-12T18%202023-12-12T22&geo=IN&q=amazon&hl=en
95,96,https://trends.google.com/trends/explore?date=2023-12-12T21%202023-12-13T01&geo=IN&q=amazon&hl=en
